,Open,High,Low,Close,Volume,Adj. Close,Date Time
2022-04-09 03:51:00,42411.96875,42411.96875,42411.96875,42411.96875,0,42411.96875,2022-04-09 03:51:00
2022-04-09 03:52:00,42432.3203125,42432.3203125,42432.3203125,42432.3203125,3590144,42432.3203125,2022-04-09 03:52:00
2022-04-09 03:53:00,42433.64453125,42433.64453125,42433.64453125,42433.64453125,2654208,42433.64453125,2022-04-09 03:53:00
2022-04-09 03:55:00,42438.73046875,42438.73046875,42438.73046875,42438.73046875,17334272,42438.73046875,2022-04-09 03:55:00
2022-04-09 03:56:00,42433.99609375,42433.99609375,42433.99609375,42433.99609375,2844672,42433.99609375,2022-04-09 03:56:00
2022-04-09 03:57:00,42428.921875,42428.921875,42428.921875,42428.921875,0,42428.921875,2022-04-09 03:57:00
2022-04-09 03:58:00,42422.35546875,42422.35546875,42422.35546875,42422.35546875,0,42422.35546875,2022-04-09 03:58:00
2022-04-09 03:59:00,42417.109375,42417.109375,42417.109375,42417.109375,0,42417.109375,2022-04-09 03:59:00
2022-04-09 04:01:00,42409.16015625,42409.16015625,42409.16015625,42409.16015625,0,42409.16015625,2022-04-09 04:01:00
2022-04-09 04:02:00,42417.58984375,42417.58984375,42417.58984375,42417.58984375,1144832,42417.58984375,2022-04-09 04:02:00
2022-04-09 04:04:00,42392.6953125,42392.6953125,42392.6953125,42392.6953125,0,42392.6953125,2022-04-09 04:04:00
2022-04-09 04:05:00,42392.19921875,42392.19921875,42392.19921875,42392.19921875,434176,42392.19921875,2022-04-09 04:05:00
2022-04-09 04:07:00,42387.14453125,42387.14453125,42387.14453125,42387.14453125,0,42387.14453125,2022-04-09 04:07:00
2022-04-09 04:08:00,42387.41796875,42387.41796875,42387.41796875,42387.41796875,0,42387.41796875,2022-04-09 04:08:00
2022-04-09 04:09:00,42387.34765625,42387.34765625,42387.34765625,42387.34765625,120832,42387.34765625,2022-04-09 04:09:00
2022-04-09 04:10:00,42390.4296875,42390.4296875,42390.4296875,42390.4296875,16373760,42390.4296875,2022-04-09 04:10:00
2022-04-09 04:11:00,42388.53125,42388.53125,42388.53125,42388.53125,18432,42388.53125,2022-04-09 04:11:00
2022-04-09 04:14:00,42380.9296875,42380.9296875,42380.9296875,42380.9296875,9990144,42380.9296875,2022-04-09 04:14:00
2022-04-09 04:16:00,42408.90625,42408.90625,42408.90625,42408.90625,17930240,42408.90625,2022-04-09 04:16:00
2022-04-09 04:19:00,42440.109375,42440.109375,42440.109375,42440.109375,44265472,42440.109375,2022-04-09 04:19:00
2022-04-09 04:20:00,42447.58984375,42447.58984375,42447.58984375,42447.58984375,6221824,42447.58984375,2022-04-09 04:20:00
2022-04-09 04:21:00,42449.01171875,42449.01171875,42449.01171875,42449.01171875,3667968,42449.01171875,2022-04-09 04:21:00
2022-04-09 04:23:00,42467.70703125,42467.70703125,42467.70703125,42467.70703125,9611264,42467.70703125,2022-04-09 04:23:00
2022-04-09 04:25:00,42462.9765625,42462.9765625,42462.9765625,42462.9765625,18931712,42462.9765625,2022-04-09 04:25:00
2022-04-09 04:26:00,42476.60546875,42476.60546875,42476.60546875,42476.60546875,9048064,42476.60546875,2022-04-09 04:26:00
2022-04-09 04:27:00,42475.84765625,42475.84765625,42475.84765625,42475.84765625,720896,42475.84765625,2022-04-09 04:27:00
2022-04-09 04:29:00,42475.18359375,42475.18359375,42475.18359375,42475.18359375,22751232,42475.18359375,2022-04-09 04:29:00
